iso,year,burned_ha,retrieved_utc
LVA,2007,0,2026-07-30T11:28:45+00:00
LVA,2008,65,2026-07-30T11:28:45+00:00
LVA,2009,0,2026-07-30T11:28:45+00:00
LVA,2010,0,2026-07-30T11:28:45+00:00
LVA,2011,0,2026-07-30T11:28:45+00:00
LVA,2012,0,2026-07-30T11:28:45+00:00
LVA,2013,0,2026-07-30T11:28:45+00:00
LVA,2014,0,2026-07-30T11:28:45+00:00
LVA,2015,0,2026-07-30T11:28:45+00:00
LVA,2016,0,2026-07-30T11:28:45+00:00
LVA,2017,35,2026-07-30T11:28:45+00:00
LVA,2018,2493,2026-07-30T11:28:45+00:00
LVA,2019,49,2026-07-30T11:28:45+00:00
LVA,2020,0,2026-07-30T11:28:45+00:00
LVA,2021,251,2026-07-30T11:28:45+00:00
LVA,2022,171,2026-07-30T11:28:45+00:00
LVA,2023,127,2026-07-30T11:28:45+00:00
LVA,2024,0,2026-07-30T11:28:45+00:00
LVA,2025,30,2026-07-30T11:28:45+00:00
LVA,2026,318,2026-07-30T11:28:45+00:00
MKD,2006,0,2026-07-30T11:28:45+00:00
MKD,2007,40108,2026-07-30T11:28:45+00:00
MKD,2008,14378,2026-07-30T11:28:45+00:00
MKD,2009,901,2026-07-30T11:28:45+00:00
MKD,2010,1692,2026-07-30T11:28:45+00:00
MKD,2011,21044,2026-07-30T11:28:45+00:00
MKD,2012,25807,2026-07-30T11:28:45+00:00
MKD,2013,7813,2026-07-30T11:28:45+00:00
MKD,2014,0,2026-07-30T11:28:45+00:00
MKD,2015,2396,2026-07-30T11:28:45+00:00
MKD,2016,3908,2026-07-30T11:28:45+00:00
MKD,2017,23541,2026-07-30T11:28:45+00:00
MKD,2018,2391,2026-07-30T11:28:45+00:00
MKD,2019,29807,2026-07-30T11:28:45+00:00
MKD,2020,2023,2026-07-30T11:28:45+00:00
MKD,2021,20377,2026-07-30T11:28:45+00:00
MKD,2022,3806,2026-07-30T11:28:45+00:00
MKD,2023,12894,2026-07-30T11:28:45+00:00
MKD,2024,95214,2026-07-30T11:28:45+00:00
MKD,2025,31338,2026-07-30T11:28:45+00:00
MKD,2026,1629,2026-07-30T11:28:45+00:00
MLT,2006,0,2026-07-30T11:28:45+00:00
MLT,2007,0,2026-07-30T11:28:45+00:00
MLT,2008,0,2026-07-30T11:28:45+00:00
MLT,2009,0,2026-07-30T11:28:45+00:00
MLT,2010,0,2026-07-30T11:28:45+00:00
MLT,2011,0,2026-07-30T11:28:45+00:00
MLT,2012,0,2026-07-30T11:28:45+00:00
MLT,2013,0,2026-07-30T11:28:45+00:00
MLT,2014,0,2026-07-30T11:28:45+00:00
MLT,2015,0,2026-07-30T11:28:45+00:00
MLT,2016,0,2026-07-30T11:28:45+00:00
MLT,2017,0,2026-07-30T11:28:45+00:00
MLT,2018,32,2026-07-30T11:28:45+00:00
MLT,2019,0,2026-07-30T11:28:45+00:00
MLT,2020,34,2026-07-30T11:28:45+00:00
MLT,2021,0,2026-07-30T10:18:57+00:00
MLT,2022,0,2026-07-30T11:28:45+00:00
MLT,2023,0,2026-07-30T11:28:45+00:00
MLT,2024,0,2026-07-30T11:28:45+00:00
MLT,2025,0,2026-07-30T11:28:45+00:00
MLT,2026,0,2026-07-30T11:28:45+00:00
